epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,571.545,1.2539,0.82868,1.16152,0.85445,0.80879,0.90097,0.57871,1.26688,0.81125,1.20942,0.00949263,0.00949263,0.00949263
43,584.588,1.24239,0.83687,1.14196,0.86295,0.82162,0.90204,0.58484,1.22293,0.80062,1.17241,0.00948025,0.00948025,0.00948025
44,597.725,1.23767,0.81577,1.14581,0.87606,0.82429,0.91075,0.58415,1.22728,0.76965,1.17991,0.00946788,0.00946788,0.00946788
45,610.891,1.22831,0.81662,1.14106,0.83235,0.83979,0.90257,0.58669,1.23653,0.78787,1.19634,0.0094555,0.0094555,0.0094555
46,624.045,1.21593,0.79582,1.13232,0.86498,0.83463,0.91236,0.58991,1.26053,0.7701,1.19317,0.00944313,0.00944313,0.00944313
47,636.915,1.25165,0.80295,1.16244,0.85405,0.84755,0.9025,0.597,1.21424,0.75667,1.17249,0.00943075,0.00943075,0.00943075
48,650.01,1.23934,0.80161,1.14981,0.88408,0.82946,0.90971,0.59435,1.23269,0.74726,1.18612,0.00941837,0.00941837,0.00941837
49,662.954,1.23045,0.8037,1.13907,0.85981,0.82817,0.90675,0.5963,1.206,0.76929,1.15976,0.009406,0.009406,0.009406
50,676.074,1.22265,0.80117,1.14237,0.87727,0.86047,0.91679,0.60605,1.20053,0.72327,1.16635,0.00939363,0.00939363,0.00939363
51,688.998,1.24223,0.80593,1.13959,0.87119,0.83333,0.91443,0.59378,1.22934,0.72721,1.16399,0.00938125,0.00938125,0.00938125
52,701.924,1.21907,0.7768,1.13909,0.904,0.8516,0.92653,0.61927,1.18861,0.71435,1.15575,0.00936888,0.00936888,0.00936888
53,714.633,1.19565,0.76288,1.1223,0.88775,0.86851,0.93074,0.62409,1.16948,0.69595,1.13625,0.0093565,0.0093565,0.0093565
54,727.729,1.19748,0.76136,1.12663,0.91133,0.82329,0.91544,0.60621,1.19652,0.71847,1.13704,0.00934413,0.00934413,0.00934413
55,740.549,1.21165,0.78422,1.12264,0.91539,0.83865,0.93703,0.62292,1.17566,0.67917,1.13866,0.00933175,0.00933175,0.00933175
56,753.195,1.15675,0.73421,1.09694,0.90106,0.85896,0.93606,0.62961,1.20947,0.68995,1.16827,0.00931937,0.00931937,0.00931937
57,765.983,1.17445,0.74017,1.1105,0.87741,0.85401,0.91891,0.6066,1.20065,0.69827,1.14902,0.009307,0.009307,0.009307
58,778.859,1.19176,0.7273,1.11873,0.88495,0.87339,0.92728,0.61614,1.18517,0.66924,1.14335,0.00929462,0.00929462,0.00929462
59,791.655,1.15903,0.73269,1.10589,0.92109,0.8294,0.92266,0.62155,1.17567,0.68716,1.15196,0.00928225,0.00928225,0.00928225
60,804.481,1.16314,0.71594,1.10422,0.87034,0.8586,0.91805,0.6138,1.17314,0.67654,1.13311,0.00926988,0.00926988,0.00926988
61,817.466,1.16225,0.7245,1.10119,0.91013,0.86353,0.94268,0.64197,1.1469,0.65054,1.1106,0.0092575,0.0092575,0.0092575
62,830.375,1.179,0.71794,1.11172,0.91224,0.86951,0.93729,0.64042,1.16217,0.65871,1.13052,0.00924512,0.00924512,0.00924512
63,843.199,1.14573,0.70309,1.10083,0.88848,0.86822,0.92435,0.6269,1.14406,0.66289,1.11937,0.00923275,0.00923275,0.00923275
64,855.951,1.12761,0.70344,1.08092,0.90586,0.86047,0.93335,0.63175,1.17129,0.67038,1.12973,0.00922038,0.00922038,0.00922038
65,869.076,1.18991,0.72502,1.13104,0.91859,0.87209,0.93484,0.64147,1.13234,0.64049,1.10042,0.009208,0.009208,0.009208
66,881.885,1.15939,0.74269,1.11306,0.88932,0.86166,0.93469,0.64061,1.13343,0.65483,1.11873,0.00919562,0.00919562,0.00919562
67,894.619,1.15386,0.73378,1.10114,0.92663,0.84844,0.93674,0.64173,1.14229,0.63838,1.11298,0.00918325,0.00918325,0.00918325
68,907.325,1.13573,0.68463,1.07746,0.88444,0.89985,0.95024,0.65545,1.12829,0.63256,1.09901,0.00917088,0.00917088,0.00917088
69,920.383,1.0968,0.67777,1.07384,0.8957,0.89876,0.94331,0.65128,1.12669,0.62991,1.11623,0.0091585,0.0091585,0.0091585
70,933.252,1.1354,0.69076,1.09243,0.91437,0.86693,0.93861,0.65508,1.10339,0.63118,1.08999,0.00914613,0.00914613,0.00914613
71,946.25,1.13461,0.68978,1.09259,0.89568,0.88747,0.94587,0.65522,1.11597,0.62464,1.09499,0.00913375,0.00913375,0.00913375
72,959.187,1.12112,0.71483,1.08446,0.90712,0.88333,0.95213,0.66043,1.11382,0.62812,1.10033,0.00912138,0.00912138,0.00912138
73,972.14,1.09649,0.67726,1.06292,0.91108,0.87374,0.9467,0.66191,1.09244,0.61259,1.06835,0.009109,0.009109,0.009109
74,984.94,1.12522,0.67184,1.08439,0.92155,0.88029,0.95284,0.66511,1.09009,0.58642,1.05879,0.00909662,0.00909662,0.00909662
75,997.827,1.1006,0.68685,1.07116,0.90291,0.88243,0.94818,0.65501,1.1137,0.62372,1.08867,0.00908425,0.00908425,0.00908425
76,1010.74,1.09209,0.69004,1.06536,0.90866,0.8876,0.9382,0.6447,1.12381,0.62373,1.09931,0.00907188,0.00907188,0.00907188
77,1023.6,1.16106,0.68844,1.09509,0.90703,0.89793,0.95499,0.66581,1.0819,0.60461,1.07759,0.0090595,0.0090595,0.0090595
78,1036.82,1.09412,0.67385,1.06799,0.90982,0.89941,0.95139,0.66619,1.09244,0.59644,1.08155,0.00904713,0.00904713,0.00904713
79,1050.6,1.08527,0.67646,1.04892,0.92159,0.8808,0.95575,0.66163,1.09936,0.59713,1.07813,0.00903475,0.00903475,0.00903475
80,1063.8,1.09133,0.68833,1.06271,0.94428,0.87574,0.94803,0.65205,1.1242,0.59626,1.09504,0.00902238,0.00902238,0.00902238
81,1076.83,1.06781,0.66024,1.0504,0.93451,0.85788,0.94486,0.65342,1.10859,0.61927,1.09501,0.00901,0.00901,0.00901
82,1089.77,1.07315,0.66403,1.06448,0.90101,0.88201,0.94523,0.66574,1.08002,0.61562,1.07527,0.00899762,0.00899762,0.00899762
83,1102.66,1.04873,0.65359,1.03818,0.91484,0.8883,0.95382,0.67461,1.06928,0.58641,1.06978,0.00898525,0.00898525,0.00898525
