epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,587.26,1.13731,0.72221,1.09775,0.89254,0.82041,0.90885,0.61038,1.16316,0.72054,1.14033,0.0011684,0.0011684,0.0011684
44,601.148,1.13343,0.71953,1.09934,0.89178,0.83047,0.91749,0.60816,1.18689,0.72911,1.16902,0.0011486,0.0011486,0.0011486
45,614.789,1.1261,0.7148,1.09846,0.87201,0.8274,0.91248,0.60755,1.19813,0.72282,1.15445,0.0011288,0.0011288,0.0011288
46,628.554,1.1099,0.69183,1.09081,0.90657,0.85142,0.935,0.63446,1.14597,0.67197,1.1387,0.001109,0.001109,0.001109
47,641.617,1.1261,0.71421,1.09797,0.9018,0.84243,0.92566,0.62949,1.15795,0.68257,1.15136,0.0010892,0.0010892,0.0010892
48,654.516,1.1357,0.70968,1.10662,0.91499,0.8483,0.93119,0.62656,1.15547,0.66275,1.14466,0.0010694,0.0010694,0.0010694
49,667.378,1.10413,0.69425,1.08219,0.87647,0.89147,0.93703,0.64496,1.13151,0.64945,1.13129,0.0010496,0.0010496,0.0010496
50,680.632,1.1082,0.69869,1.08546,0.8648,0.85788,0.92386,0.64226,1.12354,0.67857,1.11232,0.0010298,0.0010298,0.0010298
51,693.766,1.09836,0.68901,1.08135,0.90564,0.84496,0.93426,0.63275,1.14658,0.6596,1.12441,0.00101,0.00101,0.00101
52,707.007,1.08857,0.66302,1.07569,0.90063,0.86822,0.93941,0.64233,1.14083,0.63845,1.11575,0.0009902,0.0009902,0.0009902
53,720.007,1.05701,0.64829,1.05602,0.93197,0.86563,0.94572,0.64862,1.12784,0.63471,1.11319,0.0009704,0.0009704,0.0009704
54,732.89,1.08774,0.67727,1.07809,0.90302,0.86613,0.94321,0.65445,1.09663,0.61006,1.10999,0.0009506,0.0009506,0.0009506
55,745.723,1.06266,0.66621,1.05543,0.91308,0.86867,0.94622,0.65429,1.09836,0.62035,1.10711,0.0009308,0.0009308,0.0009308
56,758.683,1.03886,0.62488,1.04211,0.89991,0.8708,0.92636,0.63019,1.13352,0.64914,1.12604,0.000911,0.000911,0.000911
57,771.436,1.04844,0.63702,1.05446,0.90799,0.86305,0.94305,0.65392,1.11324,0.63426,1.10828,0.0008912,0.0008912,0.0008912
58,784.275,1.07267,0.63524,1.06972,0.91801,0.8535,0.93378,0.64615,1.11221,0.61414,1.11135,0.0008714,0.0008714,0.0008714
59,797.447,1.03442,0.62959,1.04988,0.93315,0.86564,0.949,0.6697,1.07673,0.59589,1.09257,0.0008516,0.0008516,0.0008516
60,810.395,1.02797,0.62734,1.04305,0.90407,0.88888,0.94976,0.66678,1.07876,0.58668,1.08582,0.0008318,0.0008318,0.0008318
61,823.242,1.0373,0.62251,1.05102,0.92424,0.86694,0.94309,0.6572,1.11726,0.61172,1.11589,0.000812,0.000812,0.000812
62,836.344,1.02441,0.61238,1.04944,0.89716,0.89045,0.95091,0.66887,1.07367,0.58791,1.09053,0.0007922,0.0007922,0.0007922
63,849.502,1.00098,0.60438,1.03303,0.94269,0.86693,0.95341,0.66529,1.07367,0.58491,1.08204,0.0007724,0.0007724,0.0007724
64,862.59,0.9781,0.58125,1.01461,0.93858,0.87597,0.95742,0.68126,1.05411,0.56742,1.07593,0.0007526,0.0007526,0.0007526
65,875.937,1.01281,0.58091,1.04489,0.93758,0.89267,0.95991,0.6818,1.0752,0.57132,1.08161,0.0007328,0.0007328,0.0007328
66,889.117,0.99757,0.59674,1.03947,0.91104,0.88889,0.95303,0.6811,1.04217,0.57835,1.07822,0.000713,0.000713,0.000713
67,902.007,0.99027,0.57902,1.03443,0.92084,0.91085,0.96332,0.69117,1.03092,0.54171,1.06502,0.0006932,0.0006932,0.0006932
68,914.785,0.98032,0.57644,1.01183,0.93546,0.89885,0.96001,0.68621,1.03903,0.54773,1.05973,0.0006734,0.0006734,0.0006734
