epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6013,1.71253,3.22938,1.44763,0.59442,0.35294,0.49186,0.21334,1.91485,2.0275,1.72236,0.000660714,0.000660714,0.000660714
2,26.5078,1.8069,1.78448,1.52852,0.00227,0.47059,0.00176,0.00089,2.15518,nan,6.76554,0.00131424,0.00131424,0.00131424
3,34.1069,1.8108,1.71417,1.50778,0.54439,0.35156,0.31576,0.12948,1.85768,2.62184,1.69388,0.00195457,0.00195457,0.00195457
4,41.3475,1.79904,1.64259,1.52682,0.02083,0.05882,0.00561,0.00238,2.49003,10.2808,3.7328,0.0019406,0.0019406,0.0019406
5,48.718,1.77642,1.70841,1.46145,0.6584,0.64706,0.64771,0.23261,1.85574,1.57216,1.65223,0.0019208,0.0019208,0.0019208
6,55.9969,1.75138,1.62123,1.46461,0.61439,0.75031,0.75942,0.27598,1.61853,2.0768,1.46137,0.001901,0.001901,0.001901
7,63.2946,1.66785,1.47293,1.4119,0.59099,0.76497,0.68028,0.26925,1.7795,1.49992,1.55844,0.0018812,0.0018812,0.0018812
8,70.3435,1.65624,1.51242,1.39373,0.50829,0.70588,0.62677,0.26661,1.80974,1.51152,1.53912,0.0018614,0.0018614,0.0018614
9,77.5656,1.70624,1.46265,1.41253,0.5738,0.64706,0.61573,0.29579,1.80552,1.47254,1.54965,0.0018416,0.0018416,0.0018416
10,84.6917,1.64059,1.45256,1.38255,0.5779,0.64706,0.60494,0.29752,1.7703,1.43952,1.51207,0.0018218,0.0018218,0.0018218
11,92.1338,1.62208,1.35074,1.37674,0.46465,0.70588,0.59878,0.2544,1.84956,1.4957,1.6961,0.001802,0.001802,0.001802
12,99.358,1.57815,1.28622,1.35738,0.7378,0.66283,0.74339,0.28655,1.81059,1.48885,1.63222,0.0017822,0.0017822,0.0017822
13,106.503,1.58971,1.3478,1.36483,0.62042,0.67382,0.68273,0.29822,1.6929,1.83089,1.52575,0.0017624,0.0017624,0.0017624
14,113.588,1.53278,1.2143,1.33958,0.73819,0.70588,0.76247,0.37951,1.59417,1.23523,1.35555,0.0017426,0.0017426,0.0017426
15,120.616,1.58236,1.26509,1.3316,0.83389,0.88235,0.92782,0.4414,1.56035,1.12934,1.41778,0.0017228,0.0017228,0.0017228
16,127.948,1.50113,1.15346,1.32281,0.82974,0.94118,0.9236,0.43722,1.63808,1.14396,1.4275,0.001703,0.001703,0.001703
17,135.114,1.55777,1.19264,1.34311,0.57032,0.85942,0.78596,0.4157,1.56095,1.13239,1.39756,0.0016832,0.0016832,0.0016832
18,142.33,1.51341,1.13982,1.30655,0.60213,0.80182,0.73542,0.40004,1.74669,1.08649,1.52125,0.0016634,0.0016634,0.0016634
19,149.539,1.51943,1.23593,1.31339,0.68903,0.78265,0.84166,0.48103,1.59687,1.18104,1.3334,0.0016436,0.0016436,0.0016436
20,156.651,1.42703,1.11729,1.25843,0.70009,0.96177,0.86462,0.48138,1.6371,0.94686,1.45966,0.0016238,0.0016238,0.0016238
21,163.91,1.44792,1.0817,1.27486,0.59657,0.69629,0.68936,0.36354,1.65738,1.60466,1.48962,0.001604,0.001604,0.001604
22,170.934,1.49982,1.13831,1.30275,0.64842,0.86838,0.7477,0.35889,1.68164,1.30675,1.43462,0.0015842,0.0015842,0.0015842
23,178.246,1.46738,1.14963,1.29774,0.67508,0.82353,0.85871,0.50028,1.36353,1.19921,1.27181,0.0015644,0.0015644,0.0015644
24,185.551,1.48403,1.07612,1.28926,0.8861,0.91611,0.94484,0.51913,1.55929,0.96526,1.3338,0.0015446,0.0015446,0.0015446
25,192.58,1.40748,1.07952,1.25492,0.86402,0.74835,0.85348,0.48881,1.52965,1.08086,1.38362,0.0015248,0.0015248,0.0015248
26,199.723,1.41507,1.04304,1.2728,0.85418,0.88235,0.94317,0.51044,1.55066,1.1522,1.3973,0.001505,0.001505,0.001505
27,206.736,1.42494,1.01109,1.27073,0.75226,0.76471,0.78027,0.47511,1.50824,1.16421,1.30875,0.0014852,0.0014852,0.0014852
28,213.845,1.39952,0.98244,1.27073,0.65402,0.94118,0.90103,0.50157,1.39062,0.93443,1.34259,0.0014654,0.0014654,0.0014654
29,220.88,1.39876,1.01343,1.24969,0.79911,0.70221,0.78069,0.46922,1.36406,1.07231,1.2875,0.0014456,0.0014456,0.0014456
30,227.941,1.36311,0.9938,1.23644,0.75363,0.94118,0.90408,0.48771,1.46753,0.95783,1.30956,0.0014258,0.0014258,0.0014258
31,235.176,1.34919,0.94037,1.20564,0.87031,0.7904,0.91037,0.47247,1.34823,1.06204,1.26788,0.001406,0.001406,0.001406
32,242.326,1.35814,0.98722,1.22577,0.79801,0.93006,0.93518,0.57076,1.27915,0.89757,1.22546,0.0013862,0.0013862,0.0013862
33,249.596,1.34707,0.931,1.21165,0.90485,0.82353,0.88569,0.51821,1.26929,1.04548,1.24667,0.0013664,0.0013664,0.0013664
34,256.826,1.37259,0.92747,1.24003,0.75801,0.92194,0.89728,0.50993,1.47879,0.91527,1.32736,0.0013466,0.0013466,0.0013466
35,264.062,1.37086,0.89919,1.22726,0.77787,0.82353,0.89794,0.45906,1.53946,0.93083,1.34776,0.0013268,0.0013268,0.0013268
36,271.367,1.29656,0.90689,1.18212,0.88697,0.9239,0.96779,0.59561,1.33083,0.82485,1.20032,0.001307,0.001307,0.001307
37,278.517,1.29727,0.87024,1.20046,0.77055,0.94118,0.90371,0.55296,1.39115,0.92105,1.33006,0.0012872,0.0012872,0.0012872
38,285.849,1.38819,0.97481,1.24823,0.92587,0.73576,0.91549,0.55087,1.20136,0.86161,1.2209,0.0012674,0.0012674,0.0012674
39,292.953,1.33608,0.89779,1.19419,1,0.80795,0.93692,0.58001,1.25442,0.82883,1.17867,0.0012476,0.0012476,0.0012476
40,300.057,1.3177,0.88327,1.18643,0.87666,0.82353,0.91956,0.62538,1.31304,0.82413,1.2591,0.0012278,0.0012278,0.0012278
41,307.466,1.31913,0.89259,1.21103,0.94372,0.98689,0.96889,0.58589,1.32618,0.7639,1.20648,0.001208,0.001208,0.001208
42,314.62,1.30928,0.87022,1.20145,0.94353,0.98348,0.96889,0.63319,1.10942,0.70963,1.12152,0.0011882,0.0011882,0.0011882
43,321.75,1.31229,0.88003,1.20486,0.80354,1,0.95205,0.60198,1.30339,0.82784,1.20822,0.0011684,0.0011684,0.0011684
44,329.025,1.24826,0.88652,1.13579,0.87286,0.80842,0.93565,0.61663,1.26597,0.76472,1.18633,0.0011486,0.0011486,0.0011486
45,336.04,1.28452,0.85419,1.18798,0.78951,0.88235,0.90878,0.57055,1.21118,0.9013,1.22247,0.0011288,0.0011288,0.0011288
46,343.389,1.26646,0.85561,1.16917,0.79678,1,0.93136,0.55694,1.24607,0.78807,1.11729,0.001109,0.001109,0.001109
47,350.489,1.28725,0.83831,1.1655,0.88179,0.94118,0.96315,0.5924,1.19419,0.80838,1.16858,0.0010892,0.0010892,0.0010892
48,357.547,1.27685,0.82555,1.15304,0.99461,0.94118,0.98042,0.60671,1.31918,0.71445,1.18198,0.0010694,0.0010694,0.0010694
49,364.61,1.26105,0.78978,1.16141,0.9296,0.88235,0.91758,0.60285,1.2177,0.84493,1.19424,0.0010496,0.0010496,0.0010496
50,371.75,1.22201,0.79079,1.15996,0.88723,0.94118,0.97338,0.62759,1.15196,0.71945,1.16338,0.0010298,0.0010298,0.0010298
51,378.886,1.20087,0.7352,1.13841,0.94111,0.94118,0.97842,0.66286,1.19391,0.7123,1.18048,0.00101,0.00101,0.00101
52,385.925,1.26159,0.77022,1.16903,0.99384,0.94118,0.98548,0.68274,1.15989,0.6854,1.13475,0.0009902,0.0009902,0.0009902
53,393.108,1.23887,0.7655,1.14153,0.9251,0.82353,0.9471,0.65961,1.1444,0.70188,1.14079,0.0009704,0.0009704,0.0009704
54,400.204,1.2227,0.75333,1.13104,0.89801,0.88235,0.95126,0.59816,1.29901,0.81781,1.18644,0.0009506,0.0009506,0.0009506
55,407.209,1.24689,0.7749,1.14898,0.91863,0.88235,0.96728,0.68829,1.10815,0.71315,1.15081,0.0009308,0.0009308,0.0009308
56,414.344,1.1976,0.76498,1.13138,0.83779,1,0.97017,0.65227,1.13882,0.67088,1.17909,0.000911,0.000911,0.000911
57,421.49,1.229,0.7932,1.16938,1,0.75977,0.899,0.57192,1.24584,0.79992,1.2026,0.0008912,0.0008912,0.0008912
58,428.45,1.24001,0.75434,1.15635,0.83753,0.94118,0.95447,0.63592,1.14776,0.66404,1.13735,0.0008714,0.0008714,0.0008714
59,435.513,1.15795,0.72802,1.10772,0.93802,0.94118,0.98621,0.63587,1.22369,0.66214,1.20227,0.0008516,0.0008516,0.0008516
60,442.643,1.19308,0.74646,1.12449,1,0.87082,0.97529,0.67172,1.23278,0.69517,1.15116,0.0008318,0.0008318,0.0008318
61,450.213,1.15576,0.72535,1.11248,0.99011,0.82353,0.95043,0.65067,1.2168,0.67177,1.14806,0.000812,0.000812,0.000812
62,457.225,1.16796,0.71646,1.11936,0.99729,0.94118,0.99222,0.67715,1.20303,0.57237,1.19168,0.0007922,0.0007922,0.0007922
63,464.192,1.17636,0.78886,1.10887,0.89021,1,0.97915,0.68498,1.14387,0.61629,1.18222,0.0007724,0.0007724,0.0007724
64,471.045,1.14879,0.67629,1.09604,0.95748,0.94118,0.99222,0.66379,1.25767,0.61837,1.21808,0.0007526,0.0007526,0.0007526
65,477.746,1.19347,0.75348,1.12056,0.87645,1,0.97967,0.69331,1.09144,0.5904,1.1247,0.0007328,0.0007328,0.0007328
66,484.676,1.14125,0.69798,1.09443,0.84786,0.98404,0.97417,0.68362,1.17985,0.70315,1.15674,0.000713,0.000713,0.000713
67,491.417,1.11735,0.68629,1.09313,0.93212,1,0.98556,0.71116,1.10068,0.63388,1.13551,0.0006932,0.0006932,0.0006932
68,498.199,1.13249,0.64461,1.09843,0.88576,1,0.98342,0.67151,1.1476,0.64118,1.15338,0.0006734,0.0006734,0.0006734
69,504.977,1.11335,0.66924,1.09193,0.88658,0.94118,0.97131,0.66786,1.12919,0.62834,1.1484,0.0006536,0.0006536,0.0006536
70,511.8,1.12589,0.67772,1.09051,0.9432,1,0.98556,0.71256,1.04533,0.58697,1.07579,0.0006338,0.0006338,0.0006338
71,518.812,1.09959,0.68777,1.09157,0.94017,1,0.995,0.68578,1.04381,0.57216,1.13755,0.000614,0.000614,0.000614
72,525.591,1.0987,0.64419,1.06374,1,0.97799,0.995,0.68413,1.10175,0.59631,1.13949,0.0005942,0.0005942,0.0005942
73,532.307,1.08311,0.64634,1.07278,0.99075,0.94118,0.98364,0.69973,1.05327,0.56598,1.11904,0.0005744,0.0005744,0.0005744
74,539.041,1.10167,0.63312,1.09661,0.98069,0.94118,0.99222,0.67337,1.12905,0.58287,1.19069,0.0005546,0.0005546,0.0005546
75,545.793,1.11632,0.64691,1.07679,1,0.92942,0.98196,0.70824,1.04306,0.62205,1.09375,0.0005348,0.0005348,0.0005348
76,552.538,1.09558,0.63711,1.07058,0.96789,0.94118,0.98974,0.68283,1.08167,0.55129,1.11864,0.000515,0.000515,0.000515
77,559.721,1.04849,0.60602,1.04829,0.9265,0.94118,0.96508,0.71324,1.08329,0.65372,1.14707,0.0004952,0.0004952,0.0004952
78,566.498,1.07727,0.62001,1.07148,0.93886,0.90406,0.98195,0.72792,1.0065,0.63634,1.06634,0.0004754,0.0004754,0.0004754
79,573.364,1.08738,0.6367,1.0566,0.99445,1,0.995,0.75338,1.00003,0.50145,1.06454,0.0004556,0.0004556,0.0004556
80,580.142,1.06741,0.61923,1.05729,0.95663,1,0.995,0.73766,0.99732,0.50242,1.07278,0.0004358,0.0004358,0.0004358
81,586.886,1.10072,0.64318,1.06116,0.99932,1,0.995,0.74276,0.93546,0.4897,1.0405,0.000416,0.000416,0.000416
82,593.86,1.0488,0.59316,1.0504,0.99442,1,0.995,0.77113,0.9224,0.51253,1.04109,0.0003962,0.0003962,0.0003962
83,600.712,1.0597,0.63379,1.06594,0.99365,1,0.995,0.75397,0.99166,0.46663,1.09797,0.0003764,0.0003764,0.0003764
84,607.488,1.01526,0.56626,1.03808,0.99807,1,0.995,0.74999,0.95542,0.47504,1.07388,0.0003566,0.0003566,0.0003566
85,614.202,1.04313,0.59112,1.03587,0.99474,1,0.995,0.75965,0.97702,0.48813,1.09851,0.0003368,0.0003368,0.0003368
86,621.136,1.02857,0.57063,1.03507,0.99166,1,0.995,0.7611,0.97571,0.44284,1.064,0.000317,0.000317,0.000317
87,628.045,1.02256,0.57786,1.02831,0.9444,1,0.995,0.74995,0.90549,0.46936,1.05481,0.0002972,0.0002972,0.0002972
88,634.916,1.0295,0.57867,1.0267,0.9947,1,0.995,0.787,0.83695,0.51734,0.99029,0.0002774,0.0002774,0.0002774
89,641.868,1.01173,0.55976,1.02758,0.99233,1,0.995,0.74626,0.91986,0.4571,1.04004,0.0002576,0.0002576,0.0002576
90,648.685,1.01275,0.57844,1.03509,0.99384,1,0.995,0.74998,0.90972,0.49818,1.01207,0.0002378,0.0002378,0.0002378
91,656.597,0.95436,0.53444,1.00706,1,0.98748,0.995,0.75257,0.96011,0.49281,1.04636,0.000218,0.000218,0.000218
92,664.058,0.97231,0.54066,1.03083,0.99052,1,0.995,0.75266,0.96042,0.49925,1.06293,0.0001982,0.0001982,0.0001982
93,671.276,0.94313,0.53427,1.00987,0.99227,1,0.995,0.76873,0.95691,0.48549,1.08138,0.0001784,0.0001784,0.0001784
94,678.593,0.9697,0.50821,1.02195,1,0.99432,0.995,0.76742,0.91871,0.48193,1.04323,0.0001586,0.0001586,0.0001586
95,685.472,0.96892,0.5152,1.02444,0.99155,1,0.995,0.7729,0.91007,0.4557,1.02324,0.0001388,0.0001388,0.0001388
96,692.518,0.95632,0.49806,1.0239,0.99361,1,0.995,0.77044,0.93373,0.45335,1.04279,0.000119,0.000119,0.000119
97,699.804,0.93379,0.51158,1.00015,0.99491,1,0.995,0.78466,0.93685,0.44835,1.04798,9.92e-05,9.92e-05,9.92e-05
98,706.704,0.92655,0.48298,0.99933,0.99576,1,0.995,0.76356,0.91833,0.4329,1.03685,7.94e-05,7.94e-05,7.94e-05
99,713.731,0.96187,0.5326,1.02367,0.99473,1,0.995,0.78017,0.92333,0.43579,1.04151,5.96e-05,5.96e-05,5.96e-05
100,720.57,0.91482,0.4862,0.99558,0.99581,1,0.995,0.78611,0.90838,0.42729,1.04536,3.98e-05,3.98e-05,3.98e-05
