epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,287.783,1.35915,0.92315,1.19564,0.94442,0.9995,0.98222,0.60203,1.16345,0.77729,1.15403,0.0011882,0.0011882,0.0011882
43,294.641,1.31146,0.91102,1.16961,0.75423,0.90327,0.93756,0.54966,1.31583,0.8726,1.17306,0.0011684,0.0011684,0.0011684
44,301.541,1.30812,0.96701,1.15052,0.78872,1,0.95083,0.60835,1.14848,0.78429,1.14698,0.0011486,0.0011486,0.0011486
45,308.466,1.32869,0.91305,1.18452,0.9044,0.88235,0.95875,0.58346,1.31371,0.82331,1.27309,0.0011288,0.0011288,0.0011288
46,315.31,1.32423,0.88405,1.16971,0.9262,0.94118,0.98621,0.54059,1.4525,0.69441,1.311,0.001109,0.001109,0.001109
47,322.212,1.32736,0.92222,1.16988,0.97089,1,0.995,0.59061,1.30293,0.76545,1.18354,0.0010892,0.0010892,0.0010892
48,329.326,1.3023,0.8734,1.15147,0.98131,0.88235,0.98011,0.59461,1.36599,0.69079,1.23887,0.0010694,0.0010694,0.0010694
49,336.333,1.29937,0.8396,1.15587,0.93149,0.80075,0.95474,0.56924,1.3276,0.81496,1.18256,0.0010496,0.0010496,0.0010496
50,343.23,1.27759,0.85887,1.1728,0.88756,0.94118,0.97136,0.60763,1.20634,0.75746,1.164,0.0010298,0.0010298,0.0010298
51,350.225,1.23241,0.8099,1.13459,1,0.87521,0.98548,0.61918,1.23061,0.76837,1.13761,0.00101,0.00101,0.00101
52,357.188,1.32714,0.83608,1.18079,0.89502,0.88235,0.97131,0.61842,1.20933,0.76256,1.14844,0.0009902,0.0009902,0.0009902
53,364.168,1.27831,0.82533,1.14154,0.88123,0.87336,0.94861,0.59379,1.19829,0.71161,1.159,0.0009704,0.0009704,0.0009704
54,371.105,1.27191,0.81187,1.13922,0.9402,0.92555,0.96952,0.53954,1.35186,0.80035,1.22991,0.0009506,0.0009506,0.0009506
55,378.079,1.29556,0.84777,1.15795,0.9323,0.94118,0.97489,0.62497,1.24933,0.68897,1.15361,0.0009308,0.0009308,0.0009308
56,385.097,1.26528,0.82484,1.13892,0.93267,0.81535,0.91108,0.58654,1.1944,0.80922,1.14314,0.000911,0.000911,0.000911
57,392.344,1.2692,0.83249,1.17085,0.86903,0.88235,0.92566,0.58287,1.24232,0.83351,1.13009,0.0008912,0.0008912,0.0008912
58,399.558,1.27738,0.81131,1.15663,0.92139,0.94118,0.96599,0.59878,1.13259,0.76958,1.10041,0.0008714,0.0008714,0.0008714
59,406.528,1.22313,0.80171,1.11477,0.92551,0.94118,0.96985,0.59101,1.21084,0.70246,1.1504,0.0008516,0.0008516,0.0008516
60,413.499,1.26251,0.83431,1.14159,0.92029,0.94118,0.95922,0.63038,1.18884,0.78639,1.12999,0.0008318,0.0008318,0.0008318
61,420.413,1.22499,0.77462,1.12432,0.88718,0.94118,0.96167,0.56304,1.26123,0.74879,1.21551,0.000812,0.000812,0.000812
62,427.342,1.25645,0.76359,1.14503,0.88887,0.94099,0.93697,0.63185,1.14211,0.65,1.14189,0.0007922,0.0007922,0.0007922
63,434.197,1.23972,0.9067,1.12359,0.88033,0.94118,0.96197,0.59891,1.11695,0.76595,1.16067,0.0007724,0.0007724,0.0007724
64,441.144,1.20582,0.77592,1.09974,0.88028,1,0.96911,0.63977,1.10305,0.67823,1.06772,0.0007526,0.0007526,0.0007526
65,448.12,1.27618,0.82097,1.13422,0.97799,1,0.995,0.64398,1.14092,0.56865,1.1723,0.0007328,0.0007328,0.0007328
66,455.062,1.20131,0.77166,1.10411,0.88321,1,0.96467,0.59404,1.20063,0.65473,1.14389,0.000713,0.000713,0.000713
67,461.95,1.18904,0.73887,1.11598,0.87178,0.94118,0.93466,0.56402,1.00209,0.77957,1.0934,0.0006932,0.0006932,0.0006932
68,468.843,1.19383,0.73159,1.10663,0.84129,0.93571,0.927,0.64056,1.12404,0.72653,1.10859,0.0006734,0.0006734,0.0006734
69,475.789,1.18904,0.756,1.10871,0.89414,1,0.96856,0.64437,1.10459,0.65942,1.07156,0.0006536,0.0006536,0.0006536
70,482.796,1.18249,0.77389,1.09924,0.88308,1,0.96511,0.65278,1.06839,0.64962,1.07458,0.0006338,0.0006338,0.0006338
71,489.928,1.1894,0.81275,1.11433,0.84929,1,0.97967,0.66973,1.08185,0.70714,1.08234,0.000614,0.000614,0.000614
72,497.004,1.18795,0.7112,1.08543,0.89402,0.99281,0.95365,0.66192,1.12962,0.62248,1.09217,0.0005942,0.0005942,0.0005942
73,503.934,1.14331,0.70912,1.09072,0.94366,0.9859,0.97889,0.6596,1.01601,0.71231,1.08472,0.0005744,0.0005744,0.0005744
74,510.859,1.16112,0.73463,1.102,0.92266,1,0.96278,0.68297,0.96052,0.70032,1.06891,0.0005546,0.0005546,0.0005546
75,517.774,1.19353,0.74653,1.09978,0.87685,0.94118,0.94943,0.65992,0.99375,0.6869,1.06133,0.0005348,0.0005348,0.0005348
76,524.641,1.19632,0.71526,1.09593,1,0.99539,0.995,0.66267,1.02304,0.58281,1.09722,0.000515,0.000515,0.000515
77,531.588,1.10712,0.67158,1.06051,0.88539,1,0.97592,0.64006,1.03135,0.59482,1.13151,0.0004952,0.0004952,0.0004952
78,538.49,1.18152,0.67817,1.10302,1,0.92768,0.98974,0.68396,1.01928,0.60154,1.0701,0.0004754,0.0004754,0.0004754
79,545.61,1.16699,0.71096,1.08309,0.98459,1,0.995,0.72152,1.04468,0.53241,1.1288,0.0004556,0.0004556,0.0004556
80,552.744,1.1617,0.70944,1.08007,0.99528,1,0.995,0.67858,0.94305,0.54863,1.08441,0.0004358,0.0004358,0.0004358
81,559.614,1.19182,0.71745,1.09452,0.9937,1,0.995,0.70382,1.06517,0.52733,1.11712,0.000416,0.000416,0.000416
82,566.653,1.1376,0.67599,1.07195,0.93603,1,0.98556,0.70067,0.98843,0.56684,1.06816,0.0003962,0.0003962,0.0003962
83,573.674,1.14437,0.70501,1.08522,1,0.98618,0.995,0.69026,0.92702,0.58453,1.0498,0.0003764,0.0003764,0.0003764
84,580.599,1.09189,0.63862,1.05936,0.88901,1,0.97967,0.70365,0.94269,0.57589,1.02516,0.0003566,0.0003566,0.0003566
85,587.495,1.14446,0.65111,1.06585,0.8863,1,0.97915,0.70274,0.96511,0.55564,1.05831,0.0003368,0.0003368,0.0003368
86,594.45,1.1097,0.66698,1.06217,0.93427,0.94118,0.98397,0.71524,0.90618,0.58786,1.02553,0.000317,0.000317,0.000317
